1,1,Chương 1,Động vật sống,"1. Chương này bao gồm tất cả các loại động vật sống trừ:
(a) Cá và động vật giáp xác, động vật thân mềm và động vật thuỷ sinh không xương sống khác, thuộc nhóm 03.01, 03.06, 03.07 hoặc 03.08;
(b) Vi sinh vật nuôi cấy và các sản phẩm khác thuộc nhóm 30.02; và
(c) Động vật thuộc nhóm 95.08.",Chapter 1,Live animals,"1. This Chapter covers all live animals except:
(a) Fish and crustaceans, molluscs and other aquatic invertebrates, of heading 03.01, 03.06, 03.07 or 03.08; 
(b) Cultures of micro-organisms and other products of heading 30.02; and
(c) Animals of heading 95.08."
2,1,Chương 2,Thịt và phụ phẩm dạng thịt ăn được sau giết mổ,"1. Chương này không bao gồm:
(a) Những sản phẩm thuộc loại đã được mô tả trong các nhóm 02.01 đến 02.08 hoặc 02.10, nhưng không thích hợp làm thức ăn cho người;
(b) Ruột, bong bóng hoặc dạ dày của động vật (nhóm 05.04) hoặc tiết động vật (nhóm 05.11 hoặc 30.02); hoặc
(c) Mỡ động vật, trừ các sản phẩm của nhóm 02.09 (Chương 15).",Chapter 2,Meat and edible meat offal,"1. This Chapter does not cover:
(a) Products of the kinds described in headings 02.01 to 02.08 or 02.10, unfit or unsuitable for human consumption;
(b) Guts, bladders or stomachs of animals (heading 05.04) or animal blood (heading 05.11 or 30.02); or
(c) Animal fat, other than products of heading 02.09 (Chapter 15)."
3,1,Chương 3,"Cá và động vật giáp xác, động vật thân mềm và động vật thuỷ sinh không xương sống khác","1. Chương này không bao gồm:
(a) Động vật có vú thuộc nhóm 01.06;
(b) Thịt của động vật có vú thuộc nhóm 01.06 (nhóm 02.08 hoặc 02.10);
(c) Cá (kể cả gan, sẹ và bọc trứng cá) hoặc động vật giáp xác, động vật thân mềm hay động vật thuỷ sinh không xương sống khác, đã chết và không thích hợp dùng làm thức ăn cho người hoặc vì lý do chủng loại hoặc vì trạng thái của chúng (Chương 5); các loại bột mịn, bột thô hoặc bột viên làm từ cá hoặc động vật giáp xác, động vật thân mềm hoặc động vật thuỷ sinh không xương sống khác, không thích hợp dùng làm thức ăn cho người (nhóm 23.01); hoặc
(d) Trứng cá tầm muối hoặc các sản phẩm thay thế trứng cá tầm muối từ trứng cá (nhóm 16.04).
2. Trong Chương này khái niệm ""bột viên"" có nghĩa là các sản phẩm được liên kết hoặc bằng cách nén trực tiếp hoặc bằng cách cho thêm một lượng nhỏ chất kết dính.",Chapter 3,"Fish and crustaceans, molluscs and other aquatic invertebrates","1. This Chapter does not cover:
(a) Mammals of heading 01.06;
(b) Meat of mammals of heading 01.06 (heading 02.08 or 02.10);
(c) Fish (including livers and roes thereof) or crustaceans, molluscs or other aquatic invertebrates, dead and unfit or unsuitable for human consumption by reason of either their species or their condition (Chapter 5); flours, meals or pellets of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption (heading 23.01); or 
(d) Caviar or caviar substitutes prepared from fish eggs (heading 16.04).
2. In this Chapter the term “pellets” means products which have been agglomerated either directly by compression or by the addition of a small quantity of binder."
4,1,Chương 4,"Sản phẩm bơ sữa; trứng chim và trứng gia cầm; mật ong tự nhiên; sản phẩm ăn được gốc động vật, chưa được chi tiết hoặc ghi ở nơi khác","1. Khái niệm ""sữa"" được hiểu là sữa còn nguyên kem hoặc sữa đã tách kem một phần hoặc toàn bộ.
2. Theo mục đích của nhóm 04.05:
(a) Khái niệm ""bơ"" được hiểu là bơ tự nhiên, bơ whey hoặc bơ phối chế lại (tươi, muối hoặc bơ trở mùi, kể cả bơ đã đóng hộp) được tách từ sữa, với hàm lượng chất béo sữa từ 80% trở lên nhưng không quá 95% tính theo trọng lượng, có hàm lượng chất khô không có chất béo tối đa là 2% và hàm lượng nước tối đa là 16% tính theo trọng lượng. Bơ không chứa chất nhũ hoá, nhưng có thể chứa natri clorua, chất màu thực phẩm, muối làm trung hoà và vi khuẩn vô hại nuôi cấy để tạo ra axit lactic.
'(b) Khái niệm ""chất phết từ bơ sữa"" nghĩa là chất ở dạng nhũ tương nước trong dầu có thể phết lên bánh, chứa chất béo sữa như là chất béo duy nhất trong sản phẩm, với hàm lượng chất béo từ 39% trở lên nhưng không quá 80% tính theo trọng lượng.
3. Các sản phẩm thu được từ quá trình cô đặc whey có pha thêm sữa hoặc chất béo của sữa được phân loại như phomat trong nhóm 04.06 nếu có đủ ba tiêu chuẩn sau:
(a) hàm lượng chất béo của sữa, chiếm từ 5% trở lên, tính theo trọng lượng ở thể khô;
(b) hàm lượng chất khô, tối thiểu là 70% nhưng không quá 85%, tính theo trọng lượng; và
(c) sản phẩm được đóng khuôn hoặc có thể được đóng khuôn.
4. Chương này không bao gồm:
(a) Các sản phẩm thu được từ whey, có hàm lượng lactoza khan chiếm trên 95%, tính theo trọng lượng ở thể khô (nhóm 17.02); hoặc
(b) Albumin (kể cả dịch cô đặc từ hai hay nhiều whey protein, có hàm lượng whey protein chiếm trên 80% tính theo trọng lượng ở thể khô) (nhóm 35.02) hoặc globulin (nhóm 35.04).
Chú giải phân nhóm:
1. Theo mục đích của phân nhóm 0404.10, khái niệm ""whey đã được cải biến"" là các sản phẩm bao gồm các thành phần whey, nghĩa là whey đã tách toàn bộ hoặc một phần lactoza, protein hoặc chất khoáng, whey đã thêm các thành phần whey tự nhiên, và các sản phẩm thu được bằng cách pha trộn các thành phần whey tự nhiên.
2. Theo mục đích của phân nhóm 0405.10, khái niệm ""bơ"" không bao gồm bơ khử nước hoặc ghee (phân nhóm 0405.90).",Chapter 4,"Dairy produce; birds’ eggs; natural honey; edible products of animal origin, not elsewhere specified or included","1. The expression “milk” means full cream milk or partially or completely skimmed milk.
2. For the purposes of heading 04.05:
'(a) The term “butter” means natural butter, whey butter or recombined butter (fresh, salted or rancid, including canned butter) derived exclusively from milk, with a milkfat content of 80% or more but not more than 95% by weight, a maximum milk solids-not-fat content of 2% by weight and a maximum water content of 16% by weight. Butter does not contain added emulsifiers, but may contain sodium chloride, food colours, neutralising salts and cultures of harmless lactic-acid-producing bacteria.
(b) The expression “dairy spreads” means a spreadable emulsion of the water-in-oil type, containing milkfat as the only fat in the product, with a milkfat content of 39% or more but less than 80% by weight.
3. Products obtained by the concentration of whey and with the addition of milk or milkfat are to be classified as cheese in heading 04.06 provided that they have the three following characteristics:
(a) a milkfat content, by weight of the dry matter, of 5% or more;
(b) a dry matter content, by weight, of at least 70% but not exceeding 85%; and
(c) they are moulded or capable of being moulded.
4. This Chapter does not cover:
(a) Products obtained from whey, containing by weight more than 95% lactose, expressed as anhydrous lactose calculated on the dry matter (heading 17.02); or
(b) Albumins (including concentrates of two or more whey proteins, containing by weight more than 80% whey proteins, calculated on the dry matter) (heading 35.02) or globulins (heading 35.04).
Subheading Notes:
1. For the purposes of subheading 0404.10, the expression “modified whey” means products consisting of whey constituents, that is, whey from which all or part of the lactose, proteins or minerals have been removed, whey to which natural whey constituents have been added, and products obtained by mixing natural whey constituents.
2. For the purposes of subheading 0405.10 the term “butter” does not include dehydrated butter or ghee (subheading 0405.90)."
5,1,Chương 5,"Sản phẩm gốc động vật, chưa được chi tiết hoặc ghi ở các nơi khác","1. Chương này không bao gồm:
(a) Các sản phẩm ăn được (trừ ruột, bong bóng và dạ dày của động vật, nguyên dạng và các mảnh của chúng, và tiết động vật, ở dạng lỏng hoặc khô); 
(b) Da hoặc da sống (kể cả da lông) trừ các hàng hoá thuộc nhóm 05.05 và các đầu mẩu và phế liệu tương tự từ da hoặc da sống thô thuộc nhóm 05.11 (Chương 41 hoặc 43);
(c) Vật liệu dệt gốc động vật, trừ lông đuôi hoặc bờm ngựa và phế liệu lông đuôi hoặc bờm ngựa (Phần XI); hoặc
(d) Túm hoặc búi đã chuẩn bị sẵn để làm chổi hoặc bàn chải (nhóm 96.03).
2. Theo mục đích của nhóm 05.01, việc phân loại tóc theo độ dài (với điều kiện là chưa sắp xếp theo đầu và đuôi với nhau) sẽ không được coi là gia công.
3. Trong toàn bộ Danh mục này, ngà voi, sừng hà mã, sừng con moóc (hải mã), sừng kỳ lân biển và răng nanh lợn lòi đực, sừng tê giác và răng của các loài động vật đều được coi là ""ngà"".
4. Trong toàn bộ Danh mục này, khái niệm ""lông đuôi hoặc bờm ngựa"" để chỉ lông đuôi hoặc bờm của ngựa hay động vật họ trâu bò.
",Chapter 5,"Products of animal origin, not elsewhere specified or included","1. This Chapter does not cover:
(a) Edible products (other than guts, bladders and stomachs of animals, whole and pieces thereof, and animal blood, liquid or dried);
(b) Hides or skins (including furskins) other than goods of heading 05.05 and parings and similar waste of raw hides or skins of heading 05.11 (Chapter 41 or 43);
(c) Animal textile materials, other than horsehair and horsehair waste (Section XI); or
(d) Prepared knots or tufts for broom or brush making (heading 96.03).
2. For the purposes of heading 05.01, the sorting of hair by length (provided the root ends and tip ends respectively are not arranged together) shall be deemed not to constitute working.
3. Throughout the Nomenclature, elephant, hippopotamus, walrus, narwhal and wild boar tusks, rhinoceros horns and the teeth of all animals are regarded as “ivory”.
4. Throughout the Nomenclature, the expression “horsehair” means hair of the manes or tails of equine or bovine animals."
6,2,Chương 6,"Cây sống và các loại cây trồng khác; củ, rễ và loại tương tự; cành hoa và cành lá trang trí","1. Theo phần 2 của tên nhóm 06.01, Chương này chỉ bao gồm cây sống và các sản phẩm (kể cả cây giống từ hạt) thường được cung cấp bởi người trồng hoa hoặc người làm vườn ươm cây để trồng hay trang trí; tuy nhiên Chương này không bao gồm khoai tây, hành tây, hành, hẹ, tỏi hoặc các sản phẩm khác thuộc Chương 7.
2. Khi xem xét một mặt hàng nào đó trong nhóm 06.03 hoặc 06.04 phải kể đến những mặt hàng như lẵng hoa, bó hoa, vòng hoa và các sản phẩm tương tự được làm toàn bộ hoặc một phần bằng các vật liệu nêu trong nhóm, không tính đến những đồ phụ trợ làm bằng vật liệu khác. Tuy nhiên, các nhóm này không bao gồm các tác phẩm ghép hay phù điêu trang trí tương tự thuộc nhóm 97.01.
",Chapter 6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","1. Subject to the second part of heading 06.01, this Chapter covers only live trees and goods (including seedling vegetables) of a kind commonly supplied by nursery gardeners or florists for planting or for ornamental use; nevertheless it does not include potatoes, onions, shallots, garlic or other products of Chapter 7.
2. Any reference in heading 06.03 or 06.04 to goods of any kind shall be construed as including a reference to bouquets, floral baskets, wreaths and similar articles made wholly or partly of goods of that kind, account not being taken of accessories of other materials. However, these headings do not include collages or similar decorative plaques of heading 97.01."
7,2,"Chương 7 ","Rau và một số loại củ, thân củ và rễ ăn được","1. Chương này không bao gồm các sản phẩm thức ăn cho gia súc thuộc nhóm 12.14.
2. Trong các nhóm 07.09, 07.10, 07.11 và 07.12, từ “rau” bao gồm các loại nấm, nấm cục (nấm củ) ăn được, ôliu, nụ bạch hoa, bí, bí ngô, cà tím, ngô ngọt (Zea mays var. saccharata), quả thuộc chi Capsicum hoặc thuộc chi Pimenta, rau thì là, rau mùi tây, rau mùi, rau ngải giấm, cải xoong và kinh giới ngọt (Majorana hortensis hoặc Origanum majorana).
3. Nhóm 07.12 bao gồm tất cả các loại rau khô từ các loại rau thuộc các nhóm từ 07.01 đến 07.11, trừ:
(a) các loại rau đậu khô, đã bóc vỏ (nhóm 07.13);
(b) ngô ngọt ở các dạng được nêu trong các nhóm từ 11.02 đến 11.04;
(c) bột, bột thô, bột mịn, mảnh lát, hạt và bột viên của khoai tây (nhóm 11.05);
(d) bột, bột thô và bột mịn của các loại rau đậu khô thuộc nhóm 07.13 (nhóm 11.06).
4. Tuy nhiên, Chương này không bao gồm các loại ớt thuộc chi Capsicum hoặc chi Pimenta được làm khô hoặc xay hoặc nghiền (nhóm 09.04).
",Chapter 7,Edible vegetables and certain roots and tubers,"1. This Chapter does not cover forage products of heading 12.14. 
2. In headings 07.09, 07.10, 07.11 and 07.12 the word “vegetables” includes edible mushrooms, truffles, olives, capers, marrows, pumpkins, aubergines, sweet corn (Zea mays var. saccharata), fruits of the genus Capsicum or of the genus Pimenta, fennel, parsley, chervil, tarragon, cress and sweet marjoram (Majorana hortensis or Origanum majorana).
3. Heading 07.12 covers all dried vegetables of the kinds falling in headings 07.01 to 07.11, other than:
(a) dried leguminous vegetables, shelled (heading 07.13);
(b) sweet corn in the forms specified in headings 11.02 to 11.04;
(c) flour, meal, powder, flakes, granules and pellets of potatoes (heading 11.05);
(d) flour, meal and powder of the dried leguminous vegetables of heading 07.13 (heading 11.06).
4. However, dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta are excluded from this Chapter (heading 09.04)."
8,2,Chương 8,Quả và quả hạch ăn được; vỏ quả thuộc họ cam quýt hoặc các loại dưa,"1. Chương này không bao gồm các loại quả hạch hoặc quả không ăn được.
2. Quả và quả hạch ướp lạnh được xếp cùng nhóm với quả và quả hạch tươi tương ứng.
3. Quả hoặc quả hạch khô thuộc Chương này có thể được hydrat hóa lại một phần, hoặc xử lý nhằm các mục đích sau:
(a) Tăng cường bảo quản hoặc làm ổn định (ví dụ, xử lý bằng nhiệt vừa phải, bằng lưu huỳnh, bằng cách cho thêm axít socbic hoặc socbat kali),
(b) Cải thiện hoặc duy trì bề ngoài của chúng (ví dụ, bằng cách cho thêm dầu thực vật hoặc một lượng nhỏ xirô glucoza),
với điều kiện là chúng vẫn giữ được đặc tính của quả và quả hạch khô.",Chapter 8,Edible fruit and nuts; peel of citrus fruit or melons,"1. This Chapter does not cover inedible nuts or fruits.
2. Chilled fruits and nuts are to be classified in the same headings as the corresponding fresh fruits and nuts.
3. Dried fruit or dried nuts of this Chapter may be partially rehydrated, or treated for the following purposes:
(a) For additional preservation or stabilisation (for example, by moderate heat treatment, sulphuring, the addition of sorbic acid or potassium sorbate),
(b) To improve or maintain their appearance (for example, by the addition of vegetable oil or small quantities of glucose syrup),
provided that they retain the character of dried fruit or dried nuts."
9,2,Chương 9," Cà phê, chè, chè Paragoay và các loại gia vị","1. Hỗn hợp của các sản phẩm thuộc các nhóm từ 09.04 đến 09.10 được phân loại như sau: 
a) Hỗn hợp của hai hay nhiều sản phẩm thuộc cùng một nhóm cũng được xếp trong nhóm đó;
b) Hỗn hợp của hai hay nhiều sản phẩm thuộc các nhóm khác nhau cũng được xếp trong nhóm 09.10.
Việc pha thêm các chất khác vào các sản phẩm thuộc các nhóm từ 09.04 đến 09.10 (hoặc vào hỗn hợp đã nêu trong mục (a) hoặc (b) trên đây) sẽ không ảnh hưởng tới việc phân loại sản phẩm nếu như hỗn hợp mới vẫn giữ được đặc tính cơ bản của các mặt hàng thuộc các nhóm đó. Trong các trường hợp khác các hỗn hợp mới đó không được phân loại trong Chương này; gia vị hỗn hợp hoặc bột canh hỗn hợp được phân loại trong nhóm 21.03.
2. Chương này không bao gồm hạt tiêu Cubeb (Piper cubeba) hoặc các sản phẩm khác thuộc nhóm 12.11.",Chapter 9,"Coffee, tea, maté and spices","1. Mixtures of the products of headings 09.04 to 09.10 are to be classified as follows:
(a) Mixtures of two or more of the products of the same heading are to be classified in that heading;
(b) Mixtures of two or more of the products of different headings are to be classified in heading 09.10.
The addition of other substances to the products of headings 09.04 to 09.10 (or to the mixtures referred to in paragraph (a) or (b) above) shall not affect their classification provided the resulting mixtures retain the essential character of the goods of those headings. Otherwise such mixtures are not classified in this Chapter; those constituting mixed condiments or mixed seasonings are classified in heading 21.03.
2. This Chapter does not cover Cubeb pepper (Piper cubeba) or other products of heading 12.11."
10,2,Chương 10,Ngũ cốc,"1.(A) Các sản phẩm kể tên trong các nhóm của Chương này chỉ được phân loại trong các nhóm đó khi ở dạng hạt, còn hoặc không còn ở trên bông hay trên thân cây.
  (B) Chương này không bao gồm các loại hạt đã xát vỏ hoặc chế biến cách khác. Tuy nhiên thóc, được xay để bỏ trấu, gạo được xát, đánh bóng, hồ, sơ chế bằng nước nóng hoặc hơi hoặc gạo tấm vẫn được phân loại trong nhóm 10.06.
'2. Nhóm 10.05 không bao gồm ngô ngọt (Chương 7).
Chú giải phân nhóm:
1. Khái niệm ""lúa mì durum"" có nghĩa là loại lúa mì thuộc loài Triticum durum và các giống lai tạo từ việc kết hợp giữa các loài của Triticum durum có cùng số nhiễm sắc thể (28) như những loài đó.",Chapter 10,Cereals,"1.(A) The products specified in the headings of this Chapter are to be classified in those headings only if grains are present, whether or not in the ear or on the stalk.
  (B) The Chapter does not cover grains which have been hulled or otherwise worked. However, rice, husked, milled, polished, glazed, parboiled or broken remains classified in heading 10.06.
2. Heading 10.05 does not cover sweet corn (Chapter 7).
Subheading Note.
1. The term “durum wheat” means wheat of the Triticum durum species and the hybrids derived from the inter-specific crossing of Triticum durum which have the same number (28) of chromosomes as that species."
11,2,Chương 11,Các sản phẩm xay xát; malt; tinh bột; inulin; gluten lúa mì,"1. Chương này không bao gồm:
(a) Malt đã rang dùng như chất thay thế cà phê (nhóm 09.01 hoặc nhóm 21.01);
(b) Bột mịn, tấm, bột thô hoặc tinh bột đã chế biến thuộc nhóm 19.01; 
(c) Mảnh ngô chế biến từ bột ngô hoặc các sản phẩm khác thuộc nhóm 19.04;
(d) Các loại rau, đã chế biến hay bảo quản, thuộc nhóm 20.01, 20.04 hoặc 20.05;
(e) Dược phẩm (Chương 30); hoặc
(f) Tinh bột có đặc trưng của nước hoa, mỹ phẩm hay chế phẩm vệ sinh (Chương 33).
2.(A) Các sản phẩm thu được từ quá trình xay xát ngũ cốc liệt kê trong bảng dưới đây được xếp vào Chương này, nếu tính theo trọng lượng trên sản phẩm khô các sản phẩm này có:
(a) hàm lượng tinh bột (được xác định theo phương pháp phân cực Ewer cải tiến) vượt quá chỉ dẫn ghi trong Cột (2); và
(b) hàm lượng tro (sau khi loại trừ các khoáng chất bổ sung) không vượt quá chỉ dẫn ghi trong Cột (3).
Các sản phẩm không giống như vậy sẽ được xếp vào nhóm 23.02. Tuy nhiên, mầm ngũ cốc nguyên dạng, đã được xay, vỡ mảnh hoặc nghiền, luôn luôn được phân loại vào nhóm 11.04.
  (B) Các sản phẩm thuộc Chương này theo những quy định trên đây sẽ được xếp vào nhóm 11.01 hoặc 11.02 nếu có tỷ lệ phần trăm lọt qua sàng bằng lưới kim loại với kích thước mắt sàng ghi trong Cột (4) hoặc (5) không thấp hơn tỷ lệ ghi cho từng loại ngũ cốc, tính theo trọng lượng.
Các trường hợp khác sẽ được xếp vào nhóm 11.03 hoặc 11.04.
* Ngũ cốc
- Lúa mỳ và lúa mạch đen:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 2,5%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Lúa đại mạch:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 3%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Yến mạch:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 5%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Ngô và lúa miến:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 2%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = -
. 500 micromet (micro) = 90%
- Gạo:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 1,6%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Kiểu mạch:
+ Hàm lượng tinh bột = 45%
+ Hàm lượng tro = 4%
+ Tỉ lệ lọt qua sàng với kích thước mắt sàng
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
3.Theo mục đích của nhóm 11.03 khái niệm ""tấm"" và ""bột thô"" được hiểu là các sản phẩm thu được từ quá trình xay vỡ hạt ngũ cốc, trong đó:
(a) đối với sản phẩm ngô, tối thiểu 95% tính theo trọng lượng lọt qua sàng bằng lưới kim loại với kích thước mắt sàng là 2 mm;
(b) đối với sản phẩm ngũ cốc khác, tối thiểu 95% tính theo trọng lượng lọt qua sàng có lưới bằng kim loại với kích thước mắt sàng là 1,25 mm.
",Chapter 11,Products of the milling industry; malt; starches; inulin; wheat gluten,"1. This Chapter does not cover:
(a) Roasted malt put up as coffee substitutes (heading 09.01 or 21.01);
(b) Prepared flours, groats, meals or starches of heading 19.01;
(c) Corn flakes or other products of heading 19.04;
(d) Vegetables, prepared or preserved, of heading 20.01, 20.04 or 20.05;
(e) Pharmaceutical products (Chapter 30); or
(f) Starches having the character of perfumery, cosmetic or toilet preparations (Chapter 33).
2. (A) Products from the milling of the cereals listed in the table below fall in this Chapter if they have, by weight on the dry product:
(a) a starch content (determined by the modified Ewers polarimetric method) exceeding that indicated in Column (2); and
(b) an ash content (after deduction of any added minerals) not exceeding that indicated in Column (3).
Otherwise, they fall in heading 23.02. However, germ of cereals, whole, rolled, flaked or ground, is always classified in heading 11.04.
 (B) Products falling in this Chapter under the above provisions shall be classified in heading 11.01 or 11.02 if the percentage passing through a woven metal wire cloth sieve with the aperture indicated in Column (4) or (5) is not less, by weight, than that shown against the cereal concerned.
Otherwise, they fall in heading 11.03 or 11.04.
* Cereal
- Wheat and rye:
+ Starch content = 45%
+ Ash content = 2,5%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Barley:
+ Starch content = 45%
+ Ash content = 3%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Oats:
+ Starch content = 45%
+ Ash content = 5%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
Maize (corn) and grain sorghum:
+ Starch content = 45%
+ Ash content = 2%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = -
. 500 micromet (micro) = 90%
- Rice:
+ Starch content = 45%
+ Ash content = 1,6%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
- Bluckwheat:
+ Starch content = 45%
+ Ash content = 4%
+ Rate of passage through a sieve with an aperture of
. 315 micromet (micro) = 80%
. 500 micromet (micro) = -
3. For the purposes of heading 11.03, the terms “groats” and “meal” mean products obtained by the fragmentation of cereal grains, of which:
(a) in the case of maize (corn) products, at least 95% by weight passes through a woven metal wire cloth sieve with an aperture of 2 mm;
(b) in the case of other cereal products, at least 95% by weight passes through a woven metal wire cloth sieve with an aperture of 1.25 mm."
